City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Punta Arenas,CL,37.4,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
8,Barrow,US,37.4,mist,71.29,-156.79,King Eider Inn
13,New Norfolk,AU,39.0,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
37,Qaanaaq,GL,37.65,overcast clouds,77.48,-69.36,Qaanaaq Hotel
74,Ushuaia,AR,35.6,few clouds,-54.8,-68.3,Albatros Hotel
176,Mount Gambier,AU,39.2,overcast clouds,-37.83,140.77,Commodore on the Park
198,Te Anau,NZ,39.18,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
203,Verkhnevilyuysk,RU,39.09,clear sky,63.45,120.32,Gostinitsa Mila
204,Cherskiy,RU,38.25,overcast clouds,68.75,161.3,Gostinitsa
246,Tiksi,RU,37.63,overcast clouds,71.69,128.87,Arktika
253,Zyryanka,RU,34.75,overcast clouds,65.75,150.85,Zyryanka
257,Pevek,RU,37.51,overcast clouds,69.7,170.31,Severnoye Zoloto
486,Canberra,AU,35.6,clear sky,-35.28,149.13,Novotel Canberra
527,Bilibino,RU,38.53,overcast clouds,68.05,166.44,Gostinitsa Severyanka
605,Swan Hill,AU,35.55,clear sky,-35.34,143.55,Lazy River Motor Inn
618,Coihaique,CL,39.2,light rain,-45.58,-72.07,Diego De Almagro Coyhaique
619,Deputatskiy,RU,30.63,overcast clouds,69.3,139.9,Baza Otdykha
685,Esso,RU,36.59,broken clouds,55.93,158.7,Paramushir Tur
